"scientific_name","title","extract","image_url","wikipedia_url","license","image_flag"
"Poliocephalus poliocephalus","Hoary-headed grebe","The hoary-headed grebe is a member of the grebe family. It breeds in southern parts of Australia; it winters throughout the island of Tasmania. The bird takes its name from the silvery-white streaking on its black head. It is common in Australia, with a population of about 500,000. Its habitat is similar to that of the Australasian grebe.","https://upload.wikimedia.org/wikipedia/commons/thumb/8/84/Hoary-headed_Grebe_0A2A6268.jpg/330px-Hoary-headed_Grebe_0A2A6268.jpg","https://en.wikipedia.org/wiki/Hoary-headed_grebe","CC BY-SA 4.0 (Wikipedia/Wikimedia Commons)","available"
"Anthochaera chrysoptera","Little wattlebird","The little wattlebird, also known as the brush wattlebird, is a passerine bird in the honeyeater family Meliphagidae. It is found in coastal and sub-coastal south-eastern Australia.","https://upload.wikimedia.org/wikipedia/commons/thumb/5/52/Anthochaera_chrysoptera_4.jpg/330px-Anthochaera_chrysoptera_4.jpg","https://en.wikipedia.org/wiki/Little_wattlebird","CC BY-SA 4.0 (Wikipedia/Wikimedia Commons)","available"
"Porphyrio porphyrio","Western swamphen","The western swamphen is a species of swamphen in the rail family Rallidae, one of the six species of purple swamphen. This chicken-sized bird, with its large feet, bright plumage and red bill and frontal shield is easily recognisable in its native range. It used to be considered the nominate subspecies of the purple swamphen, but is now recognised as a separate species. The western swamphen is found in wetlands in Spain, Portugal, southeastern France, Italy and northwestern Africa.","https://upload.wikimedia.org/wikipedia/commons/thumb/6/6c/Purpurhuhn.jpg/330px-Purpurhuhn.jpg","https://en.wikipedia.org/wiki/Western_swamphen","CC BY-SA 4.0 (Wikipedia/Wikimedia Commons)","available"
"Glossopsitta concinna","Musk lorikeet","The musk lorikeet is a lorikeet, now the only species in the genus Glossopsitta. It inhabits south-central/eastern Australia. The little lorikeet and the purple-crowned lorikeet were previously included in the genus. The musk lorikeet was first described by ornithologist George Shaw in 1790 as Psittacus concinnus, from a collection in the vicinity of Port Jackson in what is now Sydney. John Latham described it as Psittacus australis. Its specific epithet is the Latin concinna ""elegant"". Other common names include red-eared lorikeet, and green keet, and formerly a local Sydney indigenous term coolich. The names green leek and king parrot have been incorrectly applied to this species in the past.","https://upload.wikimedia.org/wikipedia/commons/thumb/a/af/Musk_Lorikeet_jul08.jpg/330px-Musk_Lorikeet_jul08.jpg","https://en.wikipedia.org/wiki/Musk_lorikeet","CC BY-SA 4.0 (Wikipedia/Wikimedia Commons)","available"
"Elseyornis melanops","Black-fronted dotterel","The black-fronted dotterel is a small plover in the family Charadriidae that is found throughout much of Australia and New Zealand.","https://upload.wikimedia.org/wikipedia/commons/thumb/3/34/Black-fronted_Dotterel_2_-_Bow_Bowing.jpg/330px-Black-fronted_Dotterel_2_-_Bow_Bowing.jpg","https://en.wikipedia.org/wiki/Black-fronted_dotterel","CC BY-SA 4.0 (Wikipedia/Wikimedia Commons)","available"
"Acrocephalus australis","Australian reed warbler","The Australian reed warbler is an Old World warbler in the genus Acrocephalus and is the only Acrocephalus species native to Australia. It has also been observed in Papua New Guinea and nearby islands. The name Acrocephalus refers to the peaked crown found on reed warblers in this genus and can be translated to mean ""topmost head"" in Greek. The species name australis is translated to mean ""southern"" in Latin, and refers to the species range, Australia. In its western range the Australian reed warbler is also known as ""Koordjikotji"" in the local Aboriginal language of Perth and its surrounds.","https://upload.wikimedia.org/wikipedia/commons/thumb/8/8c/Acrocephalus_australis_-_Bushell%27s_Lagoon.jpg/330px-Acrocephalus_australis_-_Bushell%27s_Lagoon.jpg","https://en.wikipedia.org/wiki/Australian_reed_warbler","CC BY-SA 4.0 (Wikipedia/Wikimedia Commons)","available"
"Cracticus torquatus","Grey butcherbird","The grey butcherbird is a widely distributed species endemic to Australia. It occurs in a range of different habitats including arid, semi-arid and temperate zones. It is found across southern Australia, but is absent from the deserts of central Australia and the monsoon tropics of northern Australia. It has a characteristic rollicking birdsong. It appears to be adapting well to city living, and can be encountered in the suburbs of many Australian cities including Brisbane, Melbourne, Perth, Sydney and Hobart. The grey butcherbird preys on small vertebrates including other birds.","https://upload.wikimedia.org/wikipedia/commons/thumb/8/8c/Cracticus_torquatus_-Brisbane_-garden_fence-8.jpg/330px-Cracticus_torquatus_-Brisbane_-garden_fence-8.jpg","https://en.wikipedia.org/wiki/Grey_butcherbird","CC BY-SA 4.0 (Wikipedia/Wikimedia Commons)","available"
"Platalea regia","Royal spoonbill","The royal spoonbill, also known as the black-billed spoonbill lives in intertidal flats and shallows of fresh and saltwater wetlands in Australia, New Zealand, Indonesia, Papua New Guinea, and the Solomon Islands. It has also been recorded as a vagrant in New Caledonia. It is one of 6 spoonbill species world wide. The royal spoonbill lives in wetlands and feeds on crustaceans, fish and small insects by sweeping its bill from side to side. It always flies with its head extended. Widespread throughout its large range, the royal spoonbill is evaluated as Least Concern on the IUCN Red List of Threatened Species.","https://upload.wikimedia.org/wikipedia/commons/thumb/2/20/Royal_Spoonbill_mouth_open.jpg/330px-Royal_Spoonbill_mouth_open.jpg","https://en.wikipedia.org/wiki/Royal_spoonbill","CC BY-SA 4.0 (Wikipedia/Wikimedia Commons)","available"
"Sericornis frontalis","White-browed scrubwren","The white-browed scrubwren is a passerine bird found on the New England Tablelands and coastal areas of Australia. Placed in the family Pardalotidae in the Sibley-Ahlquist taxonomy, this has met with opposition and indeed is now known to be wrong; they rather belong to the independent family Acanthizidae.","https://upload.wikimedia.org/wikipedia/commons/thumb/e/e8/White-browed_scrubwren_Sericornis_frontalis_DSC_zxc.jpg/330px-White-browed_scrubwren_Sericornis_frontalis_DSC_zxc.jpg","https://en.wikipedia.org/wiki/White-browed_scrubwren","CC BY-SA 4.0 (Wikipedia/Wikimedia Commons)","available"
"Ninox strenua","Powerful owl","The powerful owl, a species of owl native to south-eastern and eastern Australia, is the largest owl on the continent. It is found in coastal areas and in the Great Dividing Range, rarely more than 200 km (120 mi) inland. The IUCN Red List of Threatened Species also refers to this species as the powerful boobook.","https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Powerful_Owl_0A2A8181.jpg/330px-Powerful_Owl_0A2A8181.jpg","https://en.wikipedia.org/wiki/Powerful_owl","CC BY-SA 4.0 (Wikipedia/Wikimedia Commons)","available"
"Circus approximans","Swamp harrier","The swamp harrier, also known as the Australasian marsh harrier or Australasian harrier, is a large, slim bird of prey widely distributed across Australasia. In New Zealand, it is also known by the Māori name kāhu. It arrived in New Zealand within the last 700 years, replacing the larger species, the extinct New Zealand endemic Eyles's harrier.","https://upload.wikimedia.org/wikipedia/commons/thumb/4/40/Circus_approximans_-Hamilton_Zoo%2C_New_Zealand-8a.jpg/330px-Circus_approximans_-Hamilton_Zoo%2C_New_Zealand-8a.jpg","https://en.wikipedia.org/wiki/Swamp_harrier","CC BY-SA 4.0 (Wikipedia/Wikimedia Commons)","available"
"Neochmia temporalis","Red-browed finch","The red-browed finch is an estrildid finch that inhabits the east coast of Australia. This species has also been introduced to French Polynesia. It is commonly found in temperate forest and dry savannah habitats. It may also be found in dry forest and mangrove habitats in tropical regions.","https://upload.wikimedia.org/wikipedia/commons/thumb/b/b7/Red-browed_Finch_-_Penrith.jpg/330px-Red-browed_Finch_-_Penrith.jpg","https://en.wikipedia.org/wiki/Red-browed_finch","CC BY-SA 4.0 (Wikipedia/Wikimedia Commons)","available"
"Ardea pacifica","White-necked heron","The white-necked heron or Pacific heron is a species of heron that is found on most of the Australian continent wherever freshwater habitats exist. It is also found in parts of Indonesia and New Guinea, but is uncommon in Tasmania. The populations of this species in Australia are known to be nomadic like most water birds in Australia, moving from one water source to another, often entering habitats they have not previously occupied, taking advantage of flooding and heavy rain where the surplus of food allows them to breed and raise their young. Irruptive movements may occur when environmental conditions are right in places where the species has been rare or absent.","https://upload.wikimedia.org/wikipedia/commons/thumb/9/9a/Ardea_pacifica_-Edithvale_Wetland%2C_Melbourne%2C_Australia-8.jpg/330px-Ardea_pacifica_-Edithvale_Wetland%2C_Melbourne%2C_Australia-8.jpg","https://en.wikipedia.org/wiki/White-necked_heron","CC BY-SA 4.0 (Wikipedia/Wikimedia Commons)","available"
"Threskiornis moluccus","Australian white ibis","The Australian white ibis is a wading bird of the family Threskiornithidae. It is widespread across much of Australia. It has a predominantly white plumage with a bare, black head, long downcurved bill, and black legs. While it is closely related to the African sacred ibis, the Australian white ibis is a native Australian bird. Contrary to urban myth, it is not a feral species introduced to Australia by people, and it does not come from Egypt.","https://upload.wikimedia.org/wikipedia/commons/thumb/2/20/Australian_ibis_%28Threskiornis_molucca%29_Sydney.jpg/330px-Australian_ibis_%28Threskiornis_molucca%29_Sydney.jpg","https://en.wikipedia.org/wiki/Australian_white_ibis","CC BY-SA 4.0 (Wikipedia/Wikimedia Commons)","available"
"Dacelo novaeguineae","Laughing kookaburra","The laughing kookaburra is a bird in the kingfisher subfamily Halcyoninae. It is a large robust kingfisher with a whitish head and a brown eye-stripe. The upperparts are mostly dark brown but there is a mottled light-blue patch on the wing coverts. The underparts are cream-white and the tail is barred with rufous and black. The plumage of the male and female birds is similar. The territorial call is a distinctive laugh that is often delivered by several birds at the same time, and is widely used as a stock sound effect in situations that involve a jungle setting.","https://upload.wikimedia.org/wikipedia/commons/thumb/9/9b/Laughing_kookaburra_dec08_02.jpg/330px-Laughing_kookaburra_dec08_02.jpg","https://en.wikipedia.org/wiki/Laughing_kookaburra","CC BY-SA 4.0 (Wikipedia/Wikimedia Commons)","available"
"Acanthagenys rufogularis","Spiny-cheeked honeyeater","The spiny-cheeked honeyeater is the only species in the genus Acanthagenys. It is large for a honeyeater, ranging from 22 to 27 centimeters tall and weighing around 52 grams. The birds are sociable, aggressive, and often observed foraging in large flocks.","https://upload.wikimedia.org/wikipedia/commons/thumb/0/0d/Spiny-cheeked_Honeyeater_343_-_Patchewollock.jpg/330px-Spiny-cheeked_Honeyeater_343_-_Patchewollock.jpg","https://en.wikipedia.org/wiki/Spiny-cheeked_honeyeater","CC BY-SA 4.0 (Wikipedia/Wikimedia Commons)","available"
"Eolophus roseicapilla","Galah","The galah, less commonly known as the pink and grey cockatoo or rose-breasted cockatoo, is an Australian species of cockatoo and the only member of the genus Eolophus. The galah is adapted to a wide variety of modified and unmodified habitats and is one of Australia's most abundant and widespread bird species. The species is endemic to mainland Australia. It was introduced to Tasmania, where it is now widespread, in the mid-19th century and much more recently to New Zealand.","https://upload.wikimedia.org/wikipedia/commons/thumb/9/9d/Galah_%28Eolophus_roseicapilla_albiceps%29_male_Adelaide.jpg/330px-Galah_%28Eolophus_roseicapilla_albiceps%29_male_Adelaide.jpg","https://en.wikipedia.org/wiki/Galah","CC BY-SA 4.0 (Wikipedia/Wikimedia Commons)","available"
"Carduelis carduelis","European goldfinch","The European goldfinch or simply the goldfinch is a small passerine bird in the finch family that is native to the Palearctic zone in Europe, northern Africa, and western Asia. It has been introduced to other areas, including Australia, New Zealand, Uruguay and the United States.","https://upload.wikimedia.org/wikipedia/commons/thumb/e/eb/072_Wild_European_goldfinch_at_the_Parc_Jura_vaudois_Photo_by_Giles_Laurent.jpg/330px-072_Wild_European_goldfinch_at_the_Parc_Jura_vaudois_Photo_by_Giles_Laurent.jpg","https://en.wikipedia.org/wiki/European_goldfinch","CC BY-SA 4.0 (Wikipedia/Wikimedia Commons)","available"
"Corvus coronoides","Australian raven","The Australian raven is a passerine corvid bird native to Australia. Measuring 46–53 centimetres (18–21 in) in length, it has an all-black plumage, beak and mouth, as well as strong, greyish-black legs and feet. The upperparts of its body are glossy, with a purple-blue, greenish sheen; its black feathers have grey bases. The Australian raven is distinguished from the Australian crow, and other related corvids, by its long chest feathers, or throat hackles, which are prominent in mature birds. Older individuals and subadults have white irises, while the younger birds' eyes display blue inner rims; hatchlings and young birds have brown, dark irises until about fifteen months of age, at which point their irises become hazel-coloured, with an inner blue rim around each pupil, this lasting until they are roughly 2.5 to 3 years of age. Nicholas Aylward Vigors and Thomas Horsfield described the Australian raven in 1827, its species name coronoides highlighting its similarity with the carrion crow. Two subspecies are recognised, which differ slightly in their vocalisations, and are quite divergent, genetically.","https://upload.wikimedia.org/wikipedia/commons/thumb/d/d5/Corvus_coronoides_-_Doughboy_Head.jpg/330px-Corvus_coronoides_-_Doughboy_Head.jpg","https://en.wikipedia.org/wiki/Australian_raven","CC BY-SA 4.0 (Wikipedia/Wikimedia Commons)","available"
"Chalcites basalis","Horsfield's bronze cuckoo","Horsfield's bronze cuckoo is a small cuckoo in the family Cuculidae. Its size averages 22 g (0.78 oz) and is distinguished by its green and bronze iridescent colouring on its back and incomplete brown barring from neck to tail. Horsfield's bronze cuckoo can be distinguished from other bronze cuckoos by its white eyebrow and brown eye stripe. The Horsfield's bronze cuckoo is common throughout Australia preferring the drier open woodlands away from forested areas. This species was formerly placed in the genus Chrysococcyx.","https://upload.wikimedia.org/wikipedia/commons/thumb/9/91/Horsfield%27s_Bronze_Cuckoo_0A2A3435.jpg/330px-Horsfield%27s_Bronze_Cuckoo_0A2A3435.jpg","https://en.wikipedia.org/wiki/Horsfield's_bronze_cuckoo","CC BY-SA 4.0 (Wikipedia/Wikimedia Commons)","available"
"Falco cenchroides","Nankeen kestrel","The nankeen kestrel, also known as the Australian kestrel, is a raptor native to Australia and New Guinea. It is one of the smallest falcons, and unlike many, does not rely on speed to catch its prey. Instead, it simply perches in an exposed position, but it also has a distinctive technique of hovering over crop and grasslands.","https://upload.wikimedia.org/wikipedia/commons/thumb/8/81/Falco_cenchroides_-_Bushell%27s_Lagoon.jpg/330px-Falco_cenchroides_-_Bushell%27s_Lagoon.jpg","https://en.wikipedia.org/wiki/Nankeen_kestrel","CC BY-SA 4.0 (Wikipedia/Wikimedia Commons)","available"
"Strepera graculina","Pied currawong","The pied currawong is a black passerine bird native to eastern Australia and Lord Howe Island. One of three currawong species in the genus Strepera, it is closely related to the butcherbirds and Australian magpie of the family Artamidae. Six subspecies are recognised. It is a robust crowlike bird averaging around 48 cm (19 in) in length, black or sooty grey-black in plumage with white undertail and wing patches, yellow irises, and a heavy bill. The male and female are similar in appearance. Known for its melodious calls, the species' name currawong is believed to be of indigenous origin.","https://upload.wikimedia.org/wikipedia/commons/thumb/1/18/Pied_Currawong_-_Newington.jpg/330px-Pied_Currawong_-_Newington.jpg","https://en.wikipedia.org/wiki/Pied_currawong","CC BY-SA 4.0 (Wikipedia/Wikimedia Commons)","available"
"Falco longipennis","Australian hobby","The Australian hobby, also known as the little falcon, is one of six Australian members of the family Falconidae. This predominantly diurnal bird of prey derives its name 'longipennis' from its long primary wing feathers. It occurs throughout Australia and other neighbouring countries with migrating individuals found on the islands of Indonesia and New Guinea.","https://upload.wikimedia.org/wikipedia/commons/thumb/5/52/Australian_Hobby_0A2A5037.jpg/330px-Australian_Hobby_0A2A5037.jpg","https://en.wikipedia.org/wiki/Australian_hobby","CC BY-SA 4.0 (Wikipedia/Wikimedia Commons)","available"
"Phalacrocorax varius","Australian pied cormorant","The Australian pied cormorant, also known as the pied cormorant, pied shag, or great pied cormorant, is a medium-sized member of the cormorant family. It is found around the coasts of Australasia. In New Zealand, it is usually known either as the pied shag or by its Māori name of kāruhiruhi. Older sources may refer to it as the ""yellow-faced cormorant"".","https://upload.wikimedia.org/wikipedia/commons/thumb/c/c8/Phalacrocorax_varius_-Waikawa%2C_Marlborough%2C_New_Zealand-8.jpg/330px-Phalacrocorax_varius_-Waikawa%2C_Marlborough%2C_New_Zealand-8.jpg","https://en.wikipedia.org/wiki/Australian_pied_cormorant","CC BY-SA 4.0 (Wikipedia/Wikimedia Commons)","available"
"Turdus philomelos","Song thrush","The song thrush is a thrush that breeds across the West Palearctic. It has brown upper-parts and black-spotted cream or buff underparts and has four recognised subspecies. Its distinctive song, which has repeated musical phrases, has frequently been referred to in poetry.","https://upload.wikimedia.org/wikipedia/commons/thumb/1/1e/%D0%9F%D0%B5%D0%B2%D1%87%D0%B8%D0%B9_%D0%B4%D1%80%D0%BE%D0%B7%D0%B4_%D0%BD%D0%B0_%D0%BF%D0%B5%D0%BD%D1%8C%D0%BA%D0%B5_%28Turdus_philomelos%29%2C_%D0%91%D0%B8%D1%82%D1%86%D0%B5%D0%B2%D1%81%D0%BA%D0%B8%D0%B9_%D0%BB%D0%B5%D1%81.jpg/330px-%D0%9F%D0%B5%D0%B2%D1%87%D0%B8%D0%B9_%D0%B4%D1%80%D0%BE%D0%B7%D0%B4_%D0%BD%D0%B0_%D0%BF%D0%B5%D0%BD%D1%8C%D0%BA%D0%B5_%28Turdus_philomelos%29%2C_%D0%91%D0%B8%D1%82%D1%86%D0%B5%D0%B2%D1%81%D0%BA%D0%B8%D0%B9_%D0%BB%D0%B5%D1%81.jpg","https://en.wikipedia.org/wiki/Song_thrush","CC BY-SA 4.0 (Wikipedia/Wikimedia Commons)","available"
"Epthianura albifrons","White-fronted chat","The white-fronted chat is a species of bird in the honeyeater family Meliphagidae native to southern Australia. The male has a white face bordered by a black breast band. It is insectivorous.","https://upload.wikimedia.org/wikipedia/commons/thumb/8/8c/Epthianura_albifrons_male_-_Orielton_Lagoon.jpg/330px-Epthianura_albifrons_male_-_Orielton_Lagoon.jpg","https://en.wikipedia.org/wiki/White-fronted_chat","CC BY-SA 4.0 (Wikipedia/Wikimedia Commons)","available"
"Threskiornis spinicollis","Straw-necked ibis","The straw-necked ibis is a bird of the ibis and spoonbill family Threskiornithidae. It can be found throughout Australia, New Guinea, and parts of Indonesia. Adults have distinctive straw-like feathers on their necks.","https://upload.wikimedia.org/wikipedia/commons/thumb/7/76/Threskiornis_spinicollis_-_Centenary_Lakes.jpg/330px-Threskiornis_spinicollis_-_Centenary_Lakes.jpg","https://en.wikipedia.org/wiki/Straw-necked_ibis","CC BY-SA 4.0 (Wikipedia/Wikimedia Commons)","available"
"Elanus axillaris","Black-shouldered kite","The black-shouldered kite, also known as the Australian black-shouldered kite, is a small raptor found in open habitats throughout Australia. It resembles similar species found in Africa, Eurasia and North America, including the black-winged kite, a species that has in the past also been called ""black-shouldered kite"". Measuring around 35 cm (14 in) in length, with a wingspan of 80–100 cm (31–39 in), the adult black-shouldered kite has predominantly grey-white plumage and prominent black markings above its red eyes. It gains its name from the black patches on its wings. The primary call is a clear whistle, uttered in flight and while hovering. It can be confused with the related letter-winged kite in Australia, which is distinguished by the striking black markings under its wings.","https://upload.wikimedia.org/wikipedia/commons/thumb/8/88/Elanus_axillaris_-Royal_Botanic_Gardens%2C_Cranbourne%2C_Melbourne%2C_Victoria%2C_Australia-8.jpg/330px-Elanus_axillaris_-Royal_Botanic_Gardens%2C_Cranbourne%2C_Melbourne%2C_Victoria%2C_Australia-8.jpg","https://en.wikipedia.org/wiki/Black-shouldered_kite","CC BY-SA 4.0 (Wikipedia/Wikimedia Commons)","available"
"Malacorhynchus membranaceus","Pink-eared duck","The pink-eared duck is a species of duck found in Australia.","https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/Pink-eared_duck_-_Pitt_Town_Lagoon.jpg/330px-Pink-eared_duck_-_Pitt_Town_Lagoon.jpg","https://en.wikipedia.org/wiki/Pink-eared_duck","CC BY-SA 4.0 (Wikipedia/Wikimedia Commons)","available"
"Anhinga novaehollandiae","Australasian darter","The Australasian darter or Australian darter is a species of bird in the darter family, Anhingidae. It is found in Australia, Indonesia, and Papua New Guinea. It weighs around 2.6 kg and spans 86–94 cm (34–37 in) in length.","https://upload.wikimedia.org/wikipedia/commons/thumb/d/dc/Darter_-_Anhinga_novaehollandiae%2C_Victoria%2C_Australia.jpg/330px-Darter_-_Anhinga_novaehollandiae%2C_Victoria%2C_Australia.jpg","https://en.wikipedia.org/wiki/Australasian_darter","CC BY-SA 4.0 (Wikipedia/Wikimedia Commons)","available"
"Cacatua galerita","Sulphur-crested cockatoo","The sulphur-crested cockatoo is a relatively large white cockatoo found in wooded habitats in Australia, New Guinea, and some of the islands of Indonesia. They can be locally very numerous, leading to them sometimes being considered pests. A highly intelligent bird, they are well known in aviculture, although they can be demanding pets.","https://upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Cacatua_galerita_Tas_2.jpg/330px-Cacatua_galerita_Tas_2.jpg","https://en.wikipedia.org/wiki/Sulphur-crested_cockatoo","CC BY-SA 4.0 (Wikipedia/Wikimedia Commons)","available"
"Cisticola exilis","Golden-headed cisticola","The golden-headed cisticola, also known as the bright-capped cisticola, is a species of warbler in the family Cisticolidae, found in Australia and thirteen Asian countries. Growing to 9–11.5 cm (3.5–4.5 in) long, it is usually brown and cream in colour, but has a different appearance during the mating season, with a gold-coloured body and a much shorter tail. It is an omnivore and frequently makes a variety of vocalizations. Known as the ""finest tailor of all birds"", it constructs nests out of plants and spider threads. It mates in the rainy season. It has a very large range and population, which is thought to be increasing.","https://upload.wikimedia.org/wikipedia/commons/thumb/9/97/Cisticola_exilis_-_Cornwallis_Rd.jpg/330px-Cisticola_exilis_-_Cornwallis_Rd.jpg","https://en.wikipedia.org/wiki/Golden-headed_cisticola","CC BY-SA 4.0 (Wikipedia/Wikimedia Commons)","available"
"Tadorna tadornoides","Australian shelduck","The Australian shelduck, also known as the chestnut-breasted shelduck or mountain duck, is a shelduck, a group of large goose-like ducks part of the bird family Anatidae. The genus name Tadorna comes from Celtic roots and means ""pied waterfowl"". They have a striking chestnut-coloured breast and black body. They are protected under the National Parks and Wildlife Act 1974.","https://upload.wikimedia.org/wikipedia/commons/thumb/9/94/Tadorna_tadornoides_female_1_-_Perth.jpg/330px-Tadorna_tadornoides_female_1_-_Perth.jpg","https://en.wikipedia.org/wiki/Australian_shelduck","CC BY-SA 4.0 (Wikipedia/Wikimedia Commons)","available"
"Anas platyrhynchos","Mallard","The mallard or wild duck is a dabbling duck that breeds throughout the temperate and subtropical Americas, Eurasia, and North Africa. It has been introduced to New Zealand, Australia, Peru, Brazil, Uruguay, Argentina, Chile, Colombia, the Falkland Islands, and South Africa. Belonging to the subfamily Anatinae of the waterfowl family Anatidae, mallards live in wetlands, eat water plants and small animals, and are social animals preferring to congregate in groups or flocks of varying sizes.","https://upload.wikimedia.org/wikipedia/commons/thumb/b/bf/Anas_platyrhynchos_male_female_quadrat.jpg/330px-Anas_platyrhynchos_male_female_quadrat.jpg","https://en.wikipedia.org/wiki/Mallard","CC BY-SA 4.0 (Wikipedia/Wikimedia Commons)","available"
"Ninox novaeseelandiae","Morepork","The morepork, better known as the morepork owl, and also known by numerous other onomatopoeic names, is a smallish, brown owl species found in New Zealand, and to the northwest, on Norfolk Island, an Australian territory. It was also, formerly, found on Lord Howe Island. Three subspecies of the morepork are recognised, one of which is extinct and another that exists only as a hybrid population.","https://upload.wikimedia.org/wikipedia/commons/thumb/b/bb/Morepork_0A2A7676.jpg/330px-Morepork_0A2A7676.jpg","https://en.wikipedia.org/wiki/Morepork","CC BY-SA 4.0 (Wikipedia/Wikimedia Commons)","available"
"Manorina melanocephala","Noisy miner","The noisy miner is a bird in the honeyeater family, Meliphagidae, and is endemic to eastern and southeastern Australia. This miner is a grey bird, with a black head, orange-yellow beak and feet, a distinctive yellow patch behind the eye, and white tips on the tail feathers. The Tasmanian subspecies has a more intense yellow panel in the wing, and a broader white tip to the tail. Males, females and juveniles are similar in appearance, though young birds are a brownish-grey. As the common name suggests, the noisy miner is a vocal species with a large range of songs, calls, scoldings and alarms, and almost constant vocalisations, particularly from young birds. One of four species in the genus Manorina, the noisy miner itself is divided into four subspecies. The separation of the Tasmanian M. m. leachi is of long standing, and the mainland birds were further split in 1999.","https://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/Manorina_melanocephala_AF.jpg/330px-Manorina_melanocephala_AF.jpg","https://en.wikipedia.org/wiki/Noisy_miner","CC BY-SA 4.0 (Wikipedia/Wikimedia Commons)","available"
"Spatula rhynchotis","Australasian shoveler","The Australasian shoveler is a species of dabbling duck in the genus Spatula. It ranges from 46 to 53 cm. It lives in heavily vegetated swamps. In Australia it is protected under the National Parks and Wildlife Act 1974. They occur in southwestern and southeastern Australia, Tasmania, and New Zealand. The male has a blue-grey head with a vertical white crescent in front of the eyes.","https://upload.wikimedia.org/wikipedia/commons/thumb/a/ae/Australasian_Shoveler_-_Goulds_Lagoon_Wildlife_Sanctuary.jpg/330px-Australasian_Shoveler_-_Goulds_Lagoon_Wildlife_Sanctuary.jpg","https://en.wikipedia.org/wiki/Australasian_shoveler","CC BY-SA 4.0 (Wikipedia/Wikimedia Commons)","available"
"Accipiter fasciatus","Brown goshawk","The brown goshawk is a medium-sized bird of prey in the family Accipitridae found in Australia and surrounding islands. This species was formerly placed in the genus Accipiter.","https://upload.wikimedia.org/wikipedia/commons/thumb/8/8e/Brown_Goshawk_kur.JPG/330px-Brown_Goshawk_kur.JPG","https://en.wikipedia.org/wiki/Brown_goshawk","CC BY-SA 4.0 (Wikipedia/Wikimedia Commons)","available"
"Zoothera lunulata","Bassian thrush","The Bassian thrush, also known as the olive-tailed thrush, is a medium-sized mostly insectivorous thrush found from northern Queensland to southeastern Australia. It also occurs in Tasmania, on some larger islands of Bass Strait, and on Kangaroo Island. The thrushes range from 27 to 29 cm in length and average 100 g (3.5 oz) in weight.","https://upload.wikimedia.org/wikipedia/commons/thumb/6/63/Bassian_thrush.jpg/330px-Bassian_thrush.jpg","https://en.wikipedia.org/wiki/Bassian_thrush","CC BY-SA 4.0 (Wikipedia/Wikimedia Commons)","available"
"Platycercus eximius","Eastern rosella","The eastern rosella is a parrot native and endemic to south-eastern Australia. It was first introduced to New Zealand in cages, which then both intentionally released and accidentally escaped into the wild and has been found establishing mainly in the North Island and in the hills around Dunedin in the South Island since the early 20th century.","https://upload.wikimedia.org/wikipedia/commons/thumb/3/33/Platycercus_eximius_diemenensis_male.jpg/330px-Platycercus_eximius_diemenensis_male.jpg","https://en.wikipedia.org/wiki/Eastern_rosella","CC BY-SA 4.0 (Wikipedia/Wikimedia Commons)","available"
"Petrochelidon ariel","Fairy martin","The fairy martin is a member of the swallow family of passerine birds which breeds in Australia. It is migratory wintering through most of Australia, with some birds reaching New Guinea and Indonesia. It is increasingly a wanderer to New Zealand, where it may have bred. This species is frequently placed in the genus Hirundo as Hirundo ariel.","https://upload.wikimedia.org/wikipedia/commons/thumb/4/4a/Fairy_Martin_%286084093165%29.jpg/330px-Fairy_Martin_%286084093165%29.jpg","https://en.wikipedia.org/wiki/Fairy_martin","CC BY-SA 4.0 (Wikipedia/Wikimedia Commons)","available"
"Zanda funerea","Yellow-tailed black cockatoo","The yellow-tailed black cockatoo is a large cockatoo native to the south-east of Australia measuring 55–65 cm (22–26 in) in length. It has a short crest on the top of its head. Its plumage is mostly brownish black and it has prominent yellow cheek patches and a yellow tail band. The body feathers are edged with yellow giving a scalloped appearance. The adult male has a black beak and pinkish-red eye-rings, and the female has a bone-coloured beak and grey eye-rings. In flight, yellow-tailed black cockatoos flap deeply and slowly, with a peculiar heavy fluid motion. Their loud, wailing calls carry for long distances. The yellow-tailed black cockatoo is found in temperate forests and forested areas across south and central eastern Queensland to southeastern South Australia, including a very small population persisting in the Eyre Peninsula. Two subspecies are recognised, although Tasmanian and southern mainland populations of the southern subspecies xanthanotus may be distinct enough from each other to bring the total to three. Birds of subspecies funereus have longer wings and tails and darker plumage overall, while those of xanthanotus have more prominent scalloping. 
The subspecies whiteae is found south of Victoria to the East of South Australia and is smaller in size.","https://upload.wikimedia.org/wikipedia/commons/thumb/d/df/Calyptorhynchus_funereus_%28male%29_-Wamboin-8.jpg/330px-Calyptorhynchus_funereus_%28male%29_-Wamboin-8.jpg","https://en.wikipedia.org/wiki/Yellow-tailed_black_cockatoo","CC BY-SA 4.0 (Wikipedia/Wikimedia Commons)","available"
